"Pruning","2022-03-25","10000001","20000001","30000001"
"Weeding","2022-03-26","10000002","20000001","30000002"
"Seeding","2022-03-27","10000003","20000001","30000003"
"Mowing","2022-03-28","10000004","20000001","30000004"
"Planting","2022-03-29","10000005","20000001","30000005"
"Pruning","2022-03-31","10000006","20000002","30000006"
"Weeding","2022-04-07","10000007","20000002","30000007"
"Seeding","2022-04-08","10000008","20000002","30000008"
"Mowing","2022-04-09","10000009","20000002","30000009"
"Planting","2022-04-10","10000010","20000002","30000010"
"Pruning","2022-04-11","10000011","20000003","30000011"
"Weeding","2022-04-12","10000012","20000003","30000012"
"Seeding","2022-04-13","10000013","20000003","30000013"
"Mowing","2022-04-14","10000014","20000003","30000014"
"Planting","2022-04-15","10000015","20000003","30000015"
"Pruning","2022-04-16","10000016","20000004","30000016"
"Weeding","2022-04-17","10000017","20000004","30000017"
"Seeding","2022-04-18","10000018","20000004","30000018"
"Mowing","2022-04-19","10000019","20000004","30000019"
"Planting","2022-04-20","10000020","20000004","30000020"
